external_id,active,address,activation_date,number_arc,type_arc,district,carpet,lat,long,id,owner,operator
w3365,,"улица Бураковка, 8с10",,1,,,,55.76106,37.730754,6489,whoosh,ultradop
w3366,,"улица Бураковка, 12с6",,1,,,,55.758762,37.733047,6490,whoosh,ultradop
w3367,,"Крюковский тупик, 1/2",,1,,,,55.764148,37.709345,6491,whoosh,ultradop
w3368,,"2-я Улица Синичкина, 16",,1,,,,55.762714,37.712208,6492,whoosh,ultradop
w3369,,"улица Госпитальный Вал, 3к2",,1,,,,55.771446,37.705469,6493,whoosh,ultradop
w3370,,"2-й Красносельский переулок, 5с3",,1,,,,55.783843,37.666039,6494,whoosh,ultradop
w3371,,"Ленинградский проспект, 71кГ",,1,,,,55.804265,37.516045,6495,whoosh,ultradop
w3372,,"Ореховый бульвар, 14к1А",,1,,,,55.610655,37.716632,6496,whoosh,ultradop
w3373,,"Ореховый бульвар, 14к1А",,1,,,,55.610655,37.716632,6497,whoosh,ultradop
w3374,,Станция метро Орехово (вых. 7),,1,,,,55.610926,37.716645,6498,whoosh,ultradop
w3375,,"Каширское шоссе, 61/15",,1,,,,55.611482,37.717799,6499,whoosh,ultradop
w3376,,"Каширское шоссе, 14к3",,1,,,,55.610211,37.71836,6500,whoosh,ultradop
w3377,,"улица Ясеневская, 24с1А",,1,,,,55.613313,37.744179,6501,whoosh,ultradop
w3378,,"улица Куусинена, 86",,1,,,,55.777638,37.517649,6502,whoosh,ultradop
w3379,,"улица Космонатва Волкова, 20",,1,,,,55.815999,37.526358,6503,whoosh,ultradop
w3380,,"Локомотивный проезд, вл1с5",,1,,,,55.837106,37.575822,6504,whoosh,ultradop
w3381,,"Локомотивный проезд, вл1с5",,1,,,,55.837106,37.575822,6505,whoosh,ultradop
w3382,,Станция метро Петровско-Разумовская (вых. 3-4),,1,,,,55.833459,37.573367,6506,whoosh,ultradop
w3383,,Станция метро Петровско-Разумовская (выход 3-4),,1,,,,55.833459,37.573367,6507,whoosh,ultradop
w3384,,Станция метро Свиблово (вых. 3),,1,,,,55.854256,37.65116,6508,whoosh,ultradop
w3385,,Станция метро Беломорская (вых. 2),,1,,,,55.86546,37.476252,6509,whoosh,ultradop
w3386,,Станция метро Речной вокзал (вых. 1),,1,,,,55.85601,37.475712,6510,whoosh,ultradop
w3387,,Станция метро Окружная (вых. 6),,1,,,,55.847228,37.573527,6511,whoosh,ultradop
w3388,,Станция метро Парк Победы (вых. 4-5),,1,,,,55.735897,37.517566,6512,whoosh,ultradop
w3389,,Станция метро Окружная (вых. 9),,1,,,,55.849523,37.573131,6513,whoosh,ultradop
w3390,,Станция метро Окружная (вых. 7),,1,,,,55.849715,37.574275,6514,whoosh,ultradop
w3391,,Станция метро Измайловская (вых.1),,1,,,,55.787945,37.783384,6515,whoosh,ultradop
w3392,,Станция метро Окружная (вых. 4),,1,,,,55.847875,37.574445,6516,whoosh,ultradop
w3393,,улица Петра Вяземского3к1,,1,,,,55.595057,37.442875,6517,whoosh,ultradop
w3394,,"улица Маршала Прошлякова, 10",,1,,,,55.790532,37.381027,6518,whoosh,ultradop
w3395,,"Проезд Нансена, 1с1",,1,,,,55.84925,37.653367,6519,whoosh,ultradop
w3396,,Станция метро Анино (вых. 3),,1,,,,55.583619,37.597203,6520,whoosh,ultradop
w3397,,Станция метро Анино (вых. 1),,1,,,,55.581665,37.578187,6521,whoosh,ultradop
w3398,,Станция метро Теплый стан (вых. 4),,1,,,,55.617276,37.508296,6522,whoosh,ultradop
